CID,Checker,Category,Type,Impact,Severity,CVSS score,Vulnerable line number,Defect remediation guidance,CWE,OWASP
11976,FORWARD_NULL,Null pointer dereferences,Bad use of null-like value,Medium,Unspecified,,471,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",476,A7
11977,FORWARD_NULL,Null pointer dereferences,Bad use of null-like value,Medium,Unspecified,,577,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",476,A7
11978,CONSTANT_EXPRESSION_RESULT,Incorrect expression,Misuse of typeof,Medium,Unspecified,,517,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",569,A7
11979,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,82,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
11980,LOCALSTORAGE_WRITE,Audit impact security,localStorage write,Audit,Unspecified,,428,"Audit the data entering""localStorage"" to make sure it isn't sensitive.  Store sensitive data on the server and manage with sessions.",922,A7
11981,URL_MANIPULATION,Audit impact security,URL manipulation,Audit,Unspecified,,422,"URL manipulation vulnerabilities can be addressed by proper input validation. Whitelisting the allowed scheme and authority, and blacklisting characters that allow unsafe path traversal in the path and query parts of the URL can improve security.",99,A7
11982,SCRIPT_CODE_INJECTION,Audit impact security,Script code injection,Audit,Unspecified,,836,User-controllable dynamic data should not be used as part of scripts that are executed on the server.,95,A7
11983,NULL_RETURNS,Null pointer dereferences,Bad use of null-like value,Medium,Unspecified,,737,User-controllable dynamic data should not be used as part of scripts that are executed on the server.,476,A7
11984,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,653,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
11985,REGEX_INJECTION,Audit impact security,Regular expression injection,Audit,Unspecified,,17,Regular expression injection vulnerabilities can be addressed by validating that the user-controllable input conforms to expectations.,94,A7
11986,SCRIPT_CODE_INJECTION,Audit impact security,Script code injection,Audit,Unspecified,,833,User-controllable dynamic data should not be used as part of scripts that are executed on the server.,95,A7
11987,REGEX_INJECTION,Audit impact security,Regular expression injection,Audit,Unspecified,,63,Regular expression injection vulnerabilities can be addressed by validating that the user-controllable input conforms to expectations.,94,A7
11988,NO_EFFECT,Incorrect expression,Expression with no effect,Medium,Unspecified,,290,Perhaps this code is incomplete or mistyped in some way.,398,A7
11989,DEADCODE,Control flow issues,Logically dead code,Medium,Unspecified,,692,Perhaps this code is incomplete or mistyped in some way.,561,A7
11990,NO_EFFECT,Incorrect expression,Expression with no effect,Medium,Unspecified,,66,Perhaps this code is incomplete or mistyped in some way.,398,A7
11991,NULL_RETURNS,Null pointer dereferences,Bad use of null-like value,Medium,Unspecified,,1647,Perhaps this code is incomplete or mistyped in some way.,476,A7
11992,LOCALSTORAGE_WRITE,Audit impact security,localStorage write,Audit,Unspecified,,674,"Audit the data entering""localStorage"" to make sure it isn't sensitive.  Store sensitive data on the server and manage with sessions.",922,A7
11993,COPY_PASTE_ERROR,Incorrect expression,Copy-paste error,Medium,Unspecified,,1654,"Should it say ""src"" instead?",398,A7
11994,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,900,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
11995,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,110,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
11996,REGEX_INJECTION,Audit impact security,Regular expression injection,Audit,Unspecified,,950,Regular expression injection vulnerabilities can be addressed by validating that the user-controllable input conforms to expectations.,94,A7
11997,SCRIPT_CODE_INJECTION,Audit impact security,Script code injection,Audit,Unspecified,,82,User-controllable dynamic data should not be used as part of scripts that are executed on the server.,95,A7
11998,CONSTANT_EXPRESSION_RESULT,Incorrect expression,Misuse of typeof,Medium,Unspecified,,517,User-controllable dynamic data should not be used as part of scripts that are executed on the server.,569,A7
11999,REGEX_INJECTION,Audit impact security,Regular expression injection,Audit,Unspecified,,436,Regular expression injection vulnerabilities can be addressed by validating that the user-controllable input conforms to expectations.,94,A7
12000,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,2236,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
12001,REGEX_INJECTION,Audit impact security,Regular expression injection,Audit,Unspecified,,778,Regular expression injection vulnerabilities can be addressed by validating that the user-controllable input conforms to expectations.,94,A7
12002,CONSTANT_EXPRESSION_RESULT,Incorrect expression,Misuse of typeof,Medium,Unspecified,,952,Regular expression injection vulnerabilities can be addressed by validating that the user-controllable input conforms to expectations.,569,A7
12003,LOCALSTORAGE_WRITE,Audit impact security,localStorage write,Audit,Unspecified,,109,"Audit the data entering""localStorage"" to make sure it isn't sensitive.  Store sensitive data on the server and manage with sessions.",922,A7
12004,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,148,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
12005,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,566,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
12006,DEADCODE,Control flow issues,Logically dead code,Medium,Unspecified,,2786,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",561,A7
12007,LOCALSTORAGE_WRITE,Audit impact security,localStorage write,Audit,Unspecified,,128,"Audit the data entering""localStorage"" to make sure it isn't sensitive.  Store sensitive data on the server and manage with sessions.",922,A7
12008,DEADCODE,Control flow issues,Logically dead code,Medium,Unspecified,,465,"Audit the data entering""localStorage"" to make sure it isn't sensitive.  Store sensitive data on the server and manage with sessions.",561,A7
12009,REGEX_INJECTION,Audit impact security,Regular expression injection,Audit,Unspecified,,103,Regular expression injection vulnerabilities can be addressed by validating that the user-controllable input conforms to expectations.,94,A7
12010,SCRIPT_CODE_INJECTION,Audit impact security,Script code injection,Audit,Unspecified,,890,User-controllable dynamic data should not be used as part of scripts that are executed on the server.,95,A7
12011,SCRIPT_CODE_INJECTION,Audit impact security,Script code injection,Audit,Unspecified,,566,User-controllable dynamic data should not be used as part of scripts that are executed on the server.,95,A7
12012,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,190,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
12013,UNREACHABLE,Control flow issues,Structurally dead code,Medium,Unspecified,,1104,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",561,A7
12014,INSECURE_RANDOM,Low impact security,Cryptographically weak PRNG,Low,Unspecified,,192,"Use a cryptographically secure PRNG implementation such as ""crypto.RandomBytes()"" to generate random values for security-sensitive contexts.",330,A7
12015,NULL_RETURNS,Null pointer dereferences,Bad use of null-like value,Medium,Unspecified,,1015,"Use a cryptographically secure PRNG implementation such as ""crypto.RandomBytes()"" to generate random values for security-sensitive contexts.",476,A7
12016,DOM_XSS,High impact security,DOM-based cross-site scripting,High,Unspecified,,86,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
12017,DEADCODE,Control flow issues,Logically dead code,Medium,Unspecified,,692,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",561,A7
12018,REGEX_INJECTION,Audit impact security,Regular expression injection,Audit,Unspecified,,684,Regular expression injection vulnerabilities can be addressed by validating that the user-controllable input conforms to expectations.,94,A7
12019,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,1694,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
12020,URL_MANIPULATION,Audit impact security,URL manipulation,Audit,Unspecified,,332,"URL manipulation vulnerabilities can be addressed by proper input validation. Whitelisting the allowed scheme and authority, and blacklisting characters that allow unsafe path traversal in the path and query parts of the URL can improve security.",99,A7
12021,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,72,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
12022,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,157,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
12023,SCRIPT_CODE_INJECTION,Audit impact security,Script code injection,Audit,Unspecified,,694,User-controllable dynamic data should not be used as part of scripts that are executed on the server.,95,A7
12024,INSECURE_RANDOM,Low impact security,Cryptographically weak PRNG,Low,Unspecified,,1074,"Use a cryptographically secure PRNG implementation such as ""crypto.RandomBytes()"" to generate random values for security-sensitive contexts.",330,A7
12025,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,836,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
12026,REGEX_INJECTION,Audit impact security,Regular expression injection,Audit,Unspecified,,1335,Regular expression injection vulnerabilities can be addressed by validating that the user-controllable input conforms to expectations.,94,A7
12027,REGEX_INJECTION,Audit impact security,Regular expression injection,Audit,Unspecified,,66,Regular expression injection vulnerabilities can be addressed by validating that the user-controllable input conforms to expectations.,94,A7
12028,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,829,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
12029,REGEX_INJECTION,Audit impact security,Regular expression injection,Audit,Unspecified,,201,Regular expression injection vulnerabilities can be addressed by validating that the user-controllable input conforms to expectations.,94,A7
12030,COPY_PASTE_ERROR,Incorrect expression,Copy-paste error,Medium,Unspecified,,726,"Should it say ""keyLower"" instead?",398,A7
12031,DEADCODE,Control flow issues,Logically dead code,Medium,Unspecified,,2498,"Should it say ""keyLower"" instead?",561,A7
12032,REGEX_INJECTION,Audit impact security,Regular expression injection,Audit,Unspecified,,1037,Regular expression injection vulnerabilities can be addressed by validating that the user-controllable input conforms to expectations.,94,A7
